user_emp_no,role_name,role_level,scope_type,scope_value,role_description,permissions,valid_from,valid_until,is_active,approved_by,approved_date,created_by,created_date
ADMIN001,ADMIN,1,global,,시스템 관리자 - 전체 시스템 관리 권한,"{""read"": true, ""write"": true, ""delete"": true, ""manage_users"": true, ""manage_permissions"": true, ""system_admin"": true}",2025-09-30 13:00:00,,true,,,SYSTEM,2025-09-30 13:00:00
HR001,MANAGER,2,department,HR100,인사전략팀 관리자 - 인사 관련 전체 권한,"{""read"": true, ""write"": true, ""delete"": true, ""manage_team"": true, ""approve_requests"": true}",2025-09-30 13:00:00,,true,ADMIN001,2025-09-30 13:00:00,SYSTEM,2025-09-30 13:00:00
REC001,MANAGER,2,department,HR110,채용팀 관리자 - 채용 관련 관리 권한,"{""read"": true, ""write"": true, ""delete"": true, ""manage_team"": true}",2025-09-30 13:00:00,,true,HR001,2025-09-30 13:00:00,SYSTEM,2025-09-30 13:00:00
TRN001,MANAGER,2,department,HR120,교육팀 관리자 - 교육 관련 관리 권한,"{""read"": true, ""write"": true, ""delete"": true, ""manage_team"": true}",2025-09-30 13:00:00,,true,HR001,2025-09-30 13:00:00,SYSTEM,2025-09-30 13:00:00
PLN001,MANAGER,2,department,PLN100,기획팀 관리자 - 기획 관련 관리 권한,"{""read"": true, ""write"": true, ""delete"": true, ""manage_team"": true}",2025-09-30 13:00:00,,true,ADMIN001,2025-09-30 13:00:00,SYSTEM,2025-09-30 13:00:00
CLD001,MANAGER,2,division,WJ_CLOUD,클라우드사업본부 관리자 - 클라우드 사업 전체 관리,"{""read"": true, ""write"": true, ""delete"": true, ""manage_division"": true, ""approve_requests"": true}",2025-09-30 13:00:00,,true,ADMIN001,2025-09-30 13:00:00,SYSTEM,2025-09-30 13:00:00
MSS001,MANAGER,2,department,MSS100,MS서비스팀 관리자 - MS 서비스 관리 권한,"{""read"": true, ""write"": true, ""delete"": true, ""manage_team"": true}",2025-09-30 13:00:00,,true,CLD001,2025-09-30 13:00:00,SYSTEM,2025-09-30 13:00:00
77107791,EDITOR,3,department,MSS100,MS서비스팀 편집자 - 일반 업무 수행 권한,"{""read"": true, ""write"": true, ""delete"": false, ""create_content"": true}",2025-09-30 13:00:00,,true,MSS001,2025-09-30 13:00:00,SYSTEM,2025-09-30 13:00:00
INF001,MANAGER,2,division,WJ_CTI,CTI사업본부 관리자 - CTI 사업 전체 관리,"{""read"": true, ""write"": true, ""delete"": true, ""manage_division"": true, ""approve_requests"": true}",2025-09-30 13:00:00,,true,ADMIN001,2025-09-30 13:00:00,SYSTEM,2025-09-30 13:00:00
BIZ001,MANAGER,2,department,BIZ100,Biz운영1팀 관리자 - 비즈니스 운영 관리 권한,"{""read"": true, ""write"": true, ""delete"": true, ""manage_team"": true}",2025-09-30 13:00:00,,true,INF001,2025-09-30 13:00:00,SYSTEM,2025-09-30 13:00:00
